# beta(deg),gamma(deg)
96.505,70.844
27.536,71.022
157.786,71.200
85.744,71.378
115.200,71.556
54.955,71.733
132.515,71.911
71.082,72.089
100.124,72.267
34.491,72.444
143.205,72.622
78.509,72.800
107.505,72.978
45.636,73.156
123.421,73.333
63.306,73.511
92.911,73.689
18.338,73.867
163.143,74.044
87.537,74.222
117.196,74.400
57.114,74.578
134.994,74.756
72.964,74.933
101.948,75.111
37.536,75.289
146.308,75.467
80.330,75.644
109.392,75.822
48.090,76.000
125.594,76.178
65.294,76.356
94.705,76.533
23.369,76.711
153.448,76.889
83.946,77.067
113.237,77.244
52.737,77.422
130.131,77.600
69.178,77.778
98.310,77.956
31.188,78.133
140.312,78.311
76.675,78.489
105.636,78.667
43.074,78.844
121.301,79.022
61.284,79.200
91.119,79.378
11.343,79.556
166.570,79.733
88.433,79.911
118.207,80.089
58.174,80.267
136.274,80.444
73.898,80.622
102.865,80.800
38.982,80.978
147.958,81.156
81.237,81.333
110.344,81.511
49.281,81.689
126.702,81.867
66.275,82.044
95.604,82.222
25.532,82.400
155.527,82.578
84.845,82.756
114.215,82.933
53.854,83.111
131.312,83.289
70.133,83.467
99.216,83.644
32.876,83.822
141.735,84.000
77.594,84.178
106.568,84.356
44.370,84.533
122.355,84.711
62.300,84.889
92.015,85.067
15.238,85.244
160.289,85.422
86.641,85.600
116.194,85.778
56.041,85.956
133.742,86.133
72.025,86.311
101.035,86.489
36.041,86.667
144.727,86.844
79.421,87.022
108.446,87.200
46.875,87.378
124.500,87.556
64.304,87.733
93.808,87.911
20.998,88.089
151.511,88.267
83.045,88.444
112.266,88.622
51.604,88.800
128.969,88.978
68.217,89.156
97.406,89.333
29.414,89.511
138.930,89.689
75.754,89.867
104.709,90.044
41.747,90.222
120.259,90.400
60.258,90.578
90.224,90.756
5.066,90.933
176.418,91.111
89.888,91.289
119.871,91.467
59.871,91.644
138.421,91.822
75.407,92.000
104.362,92.178
41.240,92.356
150.815,92.533
82.706,92.711
111.904,92.889
51.174,93.067
128.539,93.244
67.855,93.422
97.068,93.600
28.723,93.778
159.317,93.956
86.305,94.133
115.820,94.311
55.636,94.489
133.279,94.667
71.672,94.844
100.693,95.022
35.467,95.200
144.149,95.378
79.079,95.556
108.092,95.733
46.413,95.911
124.094,96.089
63.931,96.267
93.471,96.444
20.040,96.622
165.194,96.800
88.097,96.978
117.827,97.156
57.778,97.333
135.791,97.511
73.549,97.689
102.521,97.867
38.445,98.044
147.330,98.222
80.897,98.400
109.986,98.578
48.837,98.756
126.285,98.933
65.908,99.111
95.267,99.289
24.742,99.467
154.729,99.644
84.508,99.822
113.847,100.000
53.437,100.178
130.866,100.356
69.775,100.533
98.876,100.711
32.253,100.889
141.196,101.067
77.250,101.244
106.218,101.422
43.887,101.600
121.958,101.778
61.920,101.956
91.679,102.133
13.903,102.311
169.241,102.489
88.993,102.667
118.844,102.844
58.830,103.022
137.090,103.200
74.480,103.378
103.440,103.556
39.863,103.733
149.028,103.911
81.803,104.089
110.942,104.267
50.016,104.444
127.403,104.622
66.885,104.800
96.167,104.978
26.801,105.156
156.915,105.333
85.407,105.511
114.830,105.689
54.544,105.867
132.061,106.044
70.726,106.222
99.783,106.400
33.893,106.578
142.648,106.756
78.166,106.933
107.153,107.111
45.164,107.289
123.019,107.467
62.930,107.644
92.575,107.822
17.239,108.000
162.021,108.178
87.201,108.356
116.819,108.533
56.713,108.711
134.521,108.889
72.613,109.067
101.605,109.244
36.982,109.422
145.707,109.600
79.990,109.778
109.037,109.956
47.637,110.133
125.182,110.311
64.923,110.489
94.369,110.667
22.508,110.844
152.707,111.022
83.608,111.200
112.872,111.378
52.314,111.556
129.693,111.733
68.818,111.911
97.971,112.089
30.534,112.267
139.789,112.444
76.330,112.622
105.288,112.800
42.580,112.978
120.909,113.156
60.900,113.333
90.783,113.511
9.485,113.689
171.986,113.867
89.440,114.044
119.356,114.222
59.352,114.400
137.751,114.578
74.944,114.756
103.900,114.933
40.556,115.111
149.909,115.289
82.255,115.467
111.422,115.644
50.597,115.822
127.969,116.000
67.371,116.178
96.617,116.356
27.777,116.533
158.084,116.711
85.856,116.889
115.324,117.067
55.092,117.244
132.667,117.422
71.200,117.600
100.238,117.778
34.688,117.956
143.392,118.133
78.623,118.311
107.622,118.489
45.792,118.667
123.555,118.844
63.432,119.022
93.023,119.200
18.690,119.378
163.533,119.556
87.649,119.733
117.322,119.911
57.247,120.089
135.152,120.267
73.081,120.444
102.063,120.622
37.719,120.800
146.510,120.978
80.444,121.156
109.511,121.333
48.240,121.511
125.731,121.689
65.417,121.867
94.818,122.044
23.650,122.222
153.700,122.400
84.058,122.578
113.359,122.756
52.878,122.933
130.277,123.111
69.298,123.289
98.423,123.467
31.404,123.644
140.487,123.822
76.790,124.000
105.753,124.178
43.238,124.356
121.432,124.533
61.412,124.711
91.231,124.889
11.898,125.067
167.061,125.244
88.545,125.422
118.334,125.600
58.305,125.778
136.436,125.956
74.015,126.133
102.980,126.311
39.160,126.489
148.169,126.667
81.350,126.844
110.463,127.022
49.429,127.200
126.842,127.378
66.397,127.556
95.717,127.733
25.791,127.911
155.798,128.089
84.958,128.267
114.337,128.444
53.993,128.622
131.461,128.800
70.252,128.978
99.329,129.156
33.082,129.333
141.916,129.511
77.708,129.689
106.685,129.867
44.529,130.044
122.487,130.222
62.426,130.400
92.127,130.578
15.658,130.756
160.624,130.933
86.753,131.111
116.318,131.289
56.176,131.467
133.897,131.644
72.143,131.822
101.149,132.000
36.231,132.178
144.921,132.356
79.535,132.533
108.564,132.711
47.028,132.889
124.636,133.067
64.428,133.244
93.920,133.422
21.308,133.600
151.746,133.778
83.157,133.956
112.387,134.133
51.747,134.311
129.114,134.489
68.337,134.667
97.519,134.844
29.641,135.022
139.101,135.200
75.869,135.378
104.825,135.556
41.915,135.733
120.388,135.911
60.387,136.089
90.336,136.267
6.205,136.444
173.795,136.622
89.664,136.800
119.613,136.978
59.612,137.156
138.085,137.333
75.175,137.511
104.131,137.689
40.899,137.867
150.359,138.044
82.481,138.222
111.663,138.400
