# beta(deg),gamma(deg)
73.956,308.178
102.922,308.356
39.071,308.533
148.063,308.711
81.294,308.889
110.404,309.067
49.355,309.244
126.772,309.422
66.336,309.600
95.660,309.778
25.662,309.956
155.662,310.133
84.902,310.311
114.276,310.489
53.923,310.667
131.386,310.844
70.192,311.022
99.273,311.200
32.979,311.378
141.826,311.556
77.651,311.733
106.627,311.911
44.450,312.089
122.421,312.267
62.363,312.444
92.071,312.622
15.449,312.800
160.456,312.978
86.697,313.156
116.256,313.333
56.109,313.511
133.819,313.689
72.084,313.867
101.092,314.044
36.136,314.222
144.824,314.400
79.478,314.578
108.505,314.756
46.952,314.933
124.568,315.111
64.366,315.289
93.864,315.467
21.153,315.644
151.628,315.822
83.101,316.000
112.326,316.178
51.675,316.356
129.041,316.533
68.277,316.711
97.463,316.889
29.528,317.067
139.015,317.244
75.811,317.422
104.767,317.600
41.831,317.778
120.324,317.956
60.323,318.133
90.280,318.311
5.664,318.489
173.297,318.667
89.608,318.844
119.549,319.022
59.547,319.200
138.002,319.378
75.118,319.556
104.073,319.733
40.814,319.911
150.246,320.089
82.424,320.267
111.602,320.444
50.814,320.622
128.182,320.800
67.553,320.978
96.786,321.156
28.135,321.333
158.539,321.511
86.024,321.689
115.510,321.867
55.296,322.044
132.896,322.222
71.377,322.400
100.408,322.578
34.982,322.756
143.674,322.933
78.794,323.111
107.798,323.289
46.026,323.467
123.756,323.644
63.619,323.822
93.191,324.000
19.207,324.178
164.136,324.356
87.817,324.533
117.511,324.711
57.447,324.889
135.391,325.067
73.257,325.244
102.235,325.422
37.993,325.600
146.816,325.778
80.614,325.956
109.689,326.133
48.464,326.311
125.938,326.489
65.601,326.667
94.986,326.844
24.065,327.022
154.081,327.200
84.227,327.378
113.542,327.556
53.088,327.733
130.497,327.911
69.477,328.089
98.593,328.267
31.725,328.444
140.752,328.622
76.963,328.800
105.927,328.978
43.482,329.156
121.629,329.333
61.602,329.511
91.399,329.689
12.687,329.867
167.833,330.044
88.713,330.222
118.525,330.400
58.503,330.578
136.680,330.756
74.189,330.933
103.152,331.111
39.425,331.289
148.489,331.467
81.520,331.644
110.643,331.822
49.650,332.000
127.052,332.178
66.580,332.356
95.885,332.533
26.174,332.711
156.211,332.889
85.126,333.067
114.522,333.244
54.200,333.422
131.685,333.600
70.430,333.778
99.500,333.956
33.388,334.133
142.189,334.311
77.880,334.489
106.860,334.667
44.768,334.844
122.686,335.022
62.615,335.200
92.295,335.378
16.268,335.556
161.136,335.733
86.921,335.911
116.506,336.089
56.378,336.267
134.130,336.444
72.319,336.622
101.320,336.800
36.514,336.978
145.214,337.156
79.705,337.333
108.741,337.511
47.257,337.689
124.840,337.867
64.614,338.044
94.088,338.222
21.765,338.400
152.103,338.578
83.327,338.756
112.569,338.933
51.960,339.111
129.330,339.289
68.518,339.467
97.689,339.644
29.979,339.822
139.358,340.000
76.042,340.178
104.998,340.356
42.165,340.533
120.583,340.711
60.580,340.889
90.504,341.067
7.602,341.244
170.181,341.422
89.161,341.600
119.036,341.778
59.026,341.956
137.337,342.133
74.654,342.311
103.612,342.489
40.124,342.667
149.356,342.844
81.972,343.022
111.122,343.200
50.234,343.378
127.615,343.556
67.067,343.733
96.336,343.911
27.171,344.089
157.347,344.267
85.575,344.444
115.015,344.622
54.750,344.800
132.288,344.978
70.904,345.156
99.954,345.333
34.193,345.511
142.925,345.689
78.337,345.867
107.329,346.044
45.400,346.222
123.220,346.400
63.118,346.578
92.743,346.756
17.796,346.933
162.573,347.111
87.369,347.289
117.007,347.467
56.914,347.644
134.757,347.822
72.789,348.000
101.777,348.178
37.260,348.356
146.007,348.533
80.160,348.711
109.214,348.889
47.864,349.067
125.387,349.244
65.109,349.422
94.537,349.600
22.942,349.778
153.075,349.956
83.777,350.133
113.054,350.311
52.526,350.489
129.911,350.667
68.998,350.844
98.141,351.022
30.863,351.200
140.050,351.378
76.503,351.556
105.462,351.733
42.828,351.911
121.105,352.089
61.092,352.267
90.951,352.444
10.455,352.622
165.866,352.800
88.265,352.978
118.017,353.156
57.976,353.333
136.032,353.511
73.723,353.689
102.693,353.867
38.714,354.044
147.643,354.222
81.067,354.400
110.165,354.578
49.060,354.756
126.493,354.933
66.092,355.111
95.436,355.289
25.140,355.467
155.125,355.644
84.677,355.822
114.031,356.000
53.646,356.178
131.089,356.356
69.954,356.533
99.046,356.711
32.566,356.889
141.465,357.067
77.422,357.244
106.393,357.422
44.129,357.600
122.156,357.778
62.110,357.956
91.847,358.133
14.585,358.311
159.797,358.489
86.473,358.667
116.007,358.844
55.839,359.022
133.510,359.200
71.849,359.378
100.864,359.556
35.755,359.733
144.437,359.911
