# beta(deg),gamma(deg)
134.661,270.000
45.339,270.000
164.550,270.000
15.450,270.000
164.550,90.000
15.450,90.000
134.661,90.000
45.339,90.000
113.788,90.000
66.212,90.000
97.929,90.000
82.071,90.000
127.999,275.906
52.001,275.906
141.279,277.453
38.721,277.453
141.279,82.547
38.721,82.547
127.999,84.094
52.001,84.094
155.921,281.641
24.079,281.641
171.000,301.717
9.000,301.717
171.000,58.283
9.000,58.283
155.921,78.359
24.079,78.359
110.991,278.107
69.009,278.107
118.976,278.625
61.024,278.625
118.976,81.375
61.024,81.375
110.991,81.893
69.009,81.893
94.717,277.673
85.283,277.673
102.716,277.824
77.284,277.824
102.716,82.176
77.284,82.176
94.717,82.327
85.283,82.327
172.071,0.000
7.929,0.000
147.159,286.766
32.841,286.766
147.159,73.234
32.841,73.234
124.838,285.043
55.162,285.043
124.838,74.957
55.162,74.957
165.104,328.898
14.896,328.898
165.104,31.102
14.896,31.102
139.346,291.341
40.654,291.341
139.346,68.659
40.654,68.659
153.000,301.717
27.000,301.717
153.000,58.283
27.000,58.283
107.533,286.078
72.467,286.078
107.533,73.922
72.467,73.922
90.000,285.450
90.000,74.550
130.347,292.854
49.653,292.854
130.347,67.146
49.653,67.146
156.383,318.762
23.617,318.762
156.383,41.238
23.617,41.238
121.072,293.837
58.928,293.837
121.072,66.163
58.928,66.163
157.564,339.821
22.436,339.821
157.564,20.179
22.436,20.179
135.000,301.717
45.000,301.717
135.000,58.283
45.000,58.283
147.555,314.352
32.445,314.352
147.555,45.648
32.445,45.648
112.027,294.445
67.973,294.445
112.027,65.555
67.973,65.555
103.808,293.433
76.192,293.433
103.808,66.567
76.192,66.567
94.722,293.639
85.278,293.639
94.722,66.361
85.278,66.361
156.212,0.000
23.788,0.000
139.283,314.103
40.717,314.103
139.283,45.897
40.717,45.897
117.000,301.717
63.000,301.717
117.000,58.283
63.000,58.283
149.875,344.846
30.125,344.846
149.875,15.154
30.125,15.154
130.284,312.297
49.716,312.297
130.284,47.703
49.716,47.703
141.578,326.151
38.422,326.151
141.578,33.849
38.422,33.849
99.000,301.717
81.000,301.717
99.000,58.283
81.000,58.283
120.889,311.110
59.111,311.110
120.889,48.890
59.111,48.890
142.434,339.549
37.566,339.549
142.434,20.451
37.566,20.451
111.823,310.386
68.177,310.386
111.823,49.614
